,budget,genres,id,keywords,popularity,release_month,revenue,runtime,title,vote_average,vote_count,won,genre_weight,profit
99,38000000,Action|Crime|Thriller,9799,street gang|car race|undercover|auto-tuning|los angeles|car|automobile racing|aftercreditsstinger|duringcreditsstinger,6.909942,6,207283925,106.0,The Fast and the Furious,6.6,3428,0,0.143646408839779,169283925
100,150000000,Fantasy|Drama|Thriller|Mystery|Romance,4922,diary|navy|funeral|tea|travel|hospital,60.269279000000004,11,333932083,166.0,The Curious Case of Benjamin Button,7.3,3292,0,0.5469613259668509,183932083
101,160000000,Action|Science Fiction|Adventure,49538,cia|mutant|mine|marvel comic|superhero|based on comic book|superhuman|historical fiction|nuclear war|cuban missile crisis|world war iii|1960s,3.195174,5,353624124,132.0,X-Men: First Class,7.1,5181,0,0.1432517758484609,193624124
102,160000000,Action|Adventure|Science Fiction,131634,revolution|strong woman|dystopia|game of death|3d|based on young adult novel,127.28442700000001,11,653428261,137.0,The Hunger Games: Mockingjay - Part 2,6.6,3984,0,0.1432517758484609,493428261
103,150000000,Fantasy|Adventure|Action|Comedy|Drama,27022,witch|fire|wolf|fountain|magic|book|castle|water|apprentice|training|merlin|love|mission|sorcerer|dragon|aftercreditsstinger|apprendista|morgana,35.580815,7,215283742,109.0,The Sorcerer's Apprentice,5.8,1470,0,0.5359116022099448,65283742
104,160000000,Adventure|Action|Drama|Thriller,503,new year's eve|fire|drowning|cataclysm|loss of father|atlantic ocean|ball|self-abandonment|shipwreck|giant wave|blackout|ship|daughter|single|escape|capsized ship,21.133748,5,181674817,99.0,Poseidon,5.5,583,0,0.48066298342541436,21674817
105,170000000,Fantasy,241259,based on novel|clock|queen|sequel|alice in wonderland|dark fantasy|mad hatter|3d,56.268916000000004,5,299370084,113.0,Alice Through the Looking Glass,6.5,1725,0,0.011049723756906077,129370084
106,160000000,Fantasy|Adventure|Animation|Comedy|Family,810,ambush|sadness|stage|liberation of prisoners|island|traitor|shipwreck|prince|ship|donkey|kingdom|theatre play|transformation|conciliation|tricks|heir to the throne|assault|boarding school|coup d'etat|teacher|best friend|dragon|cowardliness|pregnancy|capture|duringcreditsstinger,42.986467,5,798958165,93.0,Shrek the Third,6.0,2278,0,0.23164956590370955,638958165
107,160000000,Action|Adventure|Fantasy,68735,video game|elves|orcs|magic|chase|based on comic book|sorcerer|fictional war|based on video game|wizard|fictional language|muscles|orc|sword and sorcery,63.148529,5,433677183,123.0,Warcraft,6.3,2268,0,0.08287292817679558,273677183
108,155000000,Science Fiction|Action|Thriller|Adventure,87101,saving the world|artificial intelligence|cyborg|killer robot|future|time travel|dystopia|sequel|fiction|duringcreditsstinger|3d,202.04263500000002,6,440603537,126.0,Terminator Genisys,5.8,3631,0,0.19297553275453827,285603537
109,155000000,Adventure|Family|Fantasy,10140,based on novel|magic|good vs evil|king|narnia|fantasy world|knife held to throat|snowing|quest,49.661984000000004,8,415686217,113.0,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,1514,0,0.06629834254143646,260686217
110,140000000,History|Romance|War,676,nurse|patriotism|hawaii|world war ii|pilot|pearl harbor|u.s. air force|airplane|war|army|love|pin-up,34.20669,5,449220945,183.0,Pearl Harbor,6.6,1791,0,0.27624309392265195,309220945
111,150000000,Adventure|Science Fiction|Action,1858,destroy|transformation|alien|based on toy|transformers|robot|duringcreditsstinger|teenage hero,25.468493,6,709709780,144.0,Transformers,6.6,4040,0,0.1432517758484609,559709780
