,Year,Ceremony,Award,Winner,title,production
7635,1998,71,Best Picture,1,Shakespeare in Love ,"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick and Marc Norman, Producers"
7636,1998,71,Best Picture,0,The Thin Red Line ,"Robert Michael Geisler, John Roberdeau and Grant Hill, Producers"
7743,1999,72,Best Picture,1,American Beauty ,"Bruce Cohen and Dan Jinks, Producers"
7744,1999,72,Best Picture,0,The Cider House Rules ,"Richard N. Gladstein, Producer"
7745,1999,72,Best Picture,0,The Green Mile ,"David Valdes and Frank Darabont, Producers"
7746,1999,72,Best Picture,0,The Insider ,"Michael Mann and Pieter Jan Brugge, Producers"
7747,1999,72,Best Picture,0,The Sixth Sense ,"Frank Marshall, Kathleen Kennedy and Barry Mendel, Producers"
7858,2000,73,Best Picture,0,Chocolat ,"David Brown, Kit Golden and Leslie Holleran, Producers"
7859,2000,73,Best Picture,0,"Crouching Tiger, Hidden Dragon ","Bill Kong, Hsu Li Kong and Ang Lee, Producers"
7860,2000,73,Best Picture,0,Erin Brockovich ,"Danny DeVito, Michael Shamberg and Stacey Sher, Producers"
7861,2000,73,Best Picture,1,Gladiator ,"Douglas Wick, David Franzoni and Branko Lustig, Producers"
7862,2000,73,Best Picture,0,Traffic ,"Edward Zwick, Marshall Herskovitz and Laura Bickford, Producers"
7971,2001,74,Best Picture,1,A Beautiful Mind ,"Brian Grazer and Ron Howard, Producers"
7972,2001,74,Best Picture,0,Gosford Park ,"Robert Altman, Bob Balaban and David Levy, Producers"
7973,2001,74,Best Picture,0,In the Bedroom ,"Graham Leader, Ross Katz and Todd Field, Producers"
7974,2001,74,Best Picture,0,The Lord of the Rings: The Fellowship of the Ring ,"Peter Jackson, Fran Walsh and Barrie M. Osborne, Producers"
7975,2001,74,Best Picture,0,Moulin Rouge ,"Martin Brown, Baz Luhrmann and Fred Baron, Producers"
8089,2002,75,Best Picture,1,Chicago ,"Martin Richards, Producer"
8090,2002,75,Best Picture,0,Gangs of New York ,"Alberto Grimaldi and Harvey Weinstein, Producers"
8091,2002,75,Best Picture,0,The Hours ,"Scott Rudin and Robert Fox, Producers"
8092,2002,75,Best Picture,0,The Lord of the Rings: The Two Towers ,"Barrie M. Osborne, Fran Walsh and Peter Jackson, Producers"
8093,2002,75,Best Picture,0,The Pianist ,"Roman Polanski, Robert Benmussa and Alain Sarde, Producers"
8202,2003,76,Best Picture,1,The Lord of the Rings: The Return of the King ,"Barrie M. Osborne, Peter Jackson and Fran Walsh, Producers"
8203,2003,76,Best Picture,0,Lost in Translation ,"Ross Katz and Sofia Coppola, Producers"
8204,2003,76,Best Picture,0,Master and Commander: The Far Side of the World ,"Samuel Goldwyn, Jr., Peter Weir and Duncan Henderson, Producers"
8205,2003,76,Best Picture,0,Mystic River ,"Robert Lorenz, Judie G. Hoyt and Clint Eastwood, Producers"
8206,2003,76,Best Picture,0,Seabiscuit ,"Kathleen Kennedy, Frank Marshall and Gary Ross, Producers"
8317,2004,77,Best Picture,0,The Aviator ,"Michael Mann and Graham King, Producers"
8318,2004,77,Best Picture,0,Finding Neverland ,"Richard N. Gladstein and Nellie Bellflower, Producers"
8319,2004,77,Best Picture,1,Million Dollar Baby ,"Clint Eastwood, Albert S. Ruddy and Tom Rosenberg, Producers"
8320,2004,77,Best Picture,0,Ray ,"Taylor Hackford, Stuart Benjamin and Howard Baldwin, Producers"
8321,2004,77,Best Picture,0,Sideways ,"Michael London, Producer"
8430,2005,78,Best Picture,0,Brokeback Mountain ,"Diana Ossana and James Schamus, Producers"
8431,2005,78,Best Picture,0,Capote ,"Caroline Baron, William Vince and Michael Ohoven, Producers"
8432,2005,78,Best Picture,1,Crash ,"Paul Haggis and Cathy Schulman, Producers"
8433,2005,78,Best Picture,0,"Good Night, and Good Luck. ","Grant Heslov, Producer"
8434,2005,78,Best Picture,0,Munich ,"Kathleen Kennedy, Steven Spielberg and Barry Mendel, Producers"
